Query,Type,Source,Count,Response,First Seen,Last Seen,Duration
"73-haupt-road.mahabb.ac.in","A","A","",170.106.180.147,"2025-07-23","2025-07-24","1d"
"btsy2i.18anui.com","A","A","",170.106.180.147,"2021-12-20","2021-12-21","1d"
"btsy2i.18anui.com","A","D",13,170.106.180.147,"2021-08-16, 05:55","2021-08-16, 19:00","13h 5m 26s"
"dds.gov-aplq.cfd","A","A","",170.106.180.147,"2025-06-01","2025-06-05","3d"
"dds.gov-aplq.cfd","A","D",12,170.106.180.147,"2025-06-02, 07:54","2025-06-03, 04:18","20h 23m 57s"
"dds.gov-aplq.cfd","A","C",1,170.106.180.147,"2025-06-05, 05:19","2025-06-05, 05:19","1s"
"dds.gov-dhsr.cfd","A","A","",170.106.180.147,"2025-06-01","2025-06-04","2d"
"dds.gov-dhsr.cfd","A","D",22,170.106.180.147,"2025-06-02, 08:00","2025-06-03, 04:17","20h 16m 47s"
"dds.gov-dxik.cfd","A","A","",170.106.180.147,"2025-06-01","2025-06-04","2d"
"dds.gov-dxik.cfd","A","D",13,170.106.180.147,"2025-06-02, 07:52","2025-06-04, 03:55","1d 20h 3m"
"dds.gov-eaxb.cfd","A","A","",170.106.180.147,"2025-06-01","2025-06-04","2d"
"dds.gov-eaxb.cfd","A","D",33,170.106.180.147,"2025-06-02, 07:54","2025-06-04, 18:19","2d 10h 24m"
"dds.gov-enlp.cfd","A","A","",170.106.180.147,"2025-06-01","2025-06-04","2d"
"dds.gov-enlp.cfd","A","D",24,170.106.180.147,"2025-06-02, 07:53","2025-06-04, 06:32","1d 22h 38m"
"dds.gov-enlp.cfd","A","C",1,170.106.180.147,"2025-06-05, 05:55","2025-06-05, 05:55","1s"
"dds.gov-ijkw.cfd","A","B",1,170.106.180.147,"2025-06-02, 21:55","2025-06-02, 21:55","1s"
"dds.gov-ijkw.cfd","A","A","",170.106.180.147,"2025-06-01","2025-06-05","3d"
"dds.gov-ijkw.cfd","A","D",30,170.106.180.147,"2025-06-02, 07:59","2025-06-04, 03:58","1d 19h 59m"
"dds.gov-ijkw.cfd","A","C",1,170.106.180.147,"2025-06-05, 05:40","2025-06-05, 05:40","1s"
"dds.gov-lbzr.cfd","A","B",1,170.106.180.147,"2025-06-02, 18:55","2025-06-02, 18:55","1s"
"dds.gov-lbzr.cfd","A","A","",170.106.180.147,"2025-06-01","2025-06-03","1d"
"dds.gov-lbzr.cfd","A","D",7,170.106.180.147,"2025-06-02, 07:53","2025-06-03, 22:20","1d 14h 26m"
"dds.gov-mpbm.cfd","A","A","",170.106.180.147,"2025-06-01","2025-06-05","3d"
"dds.gov-mpbm.cfd","A","D",20,170.106.180.147,"2025-06-02, 07:54","2025-06-05, 08:17","3d 23m 6s"
"dds.gov-mpbm.cfd","A","C",1,170.106.180.147,"2025-06-05, 05:26","2025-06-05, 05:26","1s"
"dds.gov-ntxp.cfd","A","A","",170.106.180.147,"2025-06-01","2025-06-03","1d"
"dds.gov-ntxp.cfd","A","D",7,170.106.180.147,"2025-06-02, 08:00","2025-06-03, 04:18","20h 18m 19s"
