Query,Type,Source,Count,Response,First Seen,Last Seen,Duration
"antjuan-isupova.drt10.com","A","A","",47.76.140.150,"2025-06-24","2025-06-25","1d"
"hgaa0803.com","A","B",3,47.76.140.150,"2025-04-24, 05:50","2025-04-28, 05:57","4d 6m 59s"
"hgaa0803.com","A","A","",47.76.140.150,"2025-04-23","2025-04-27","3d"
"ezdrivema.com-custosascsm.top","A","C",1,47.76.140.150,"2025-01-26, 10:11","2025-01-26, 10:11","1s"
"amazon.com-custosasmz.top","A","C",1,47.76.140.150,"2025-01-26, 08:35","2025-01-26, 08:35","1s"
"thetollroads.com-custosascsn.top","A","C",3,47.76.140.150,"2025-01-25, 06:23","2025-01-26, 10:11","1d 3h 48m"
"thetollroads.com-custosascsx.top","A","C",3,47.76.140.150,"2025-01-25, 06:23","2025-01-26, 10:12","1d 3h 48m"
"anpost.com-winchessn.top","A","A","",47.76.140.150,"2025-01-17","2025-01-24","6d"
"com-custosasccz.top","A","A","",47.76.140.150,"2025-01-16","2025-01-22","5d"
"com-winchessn.top","A","C",1,47.76.140.150,"2025-01-15, 20:20","2025-01-15, 20:20","1s"
"com-winchessn.top","A","A","",47.76.140.150,"2025-01-15","2025-01-26","10d"
"com-custosasccz.top","A","D",15,47.76.140.150,"2025-01-15, 16:19","2025-01-26, 13:25","10d 21h 5m"
"com-custosasmz.top","A","D",18,47.76.140.150,"2025-01-15, 06:11","2025-01-26, 08:36","11d 2h 24m"
"com-winchessn.top","A","D",13,47.76.140.150,"2025-01-15, 04:58","2025-01-26, 04:25","10d 23h 27m"
"thetollroads.com-custosascsx.top","A","D",13,47.76.140.150,"2025-01-14, 20:39","2025-01-26, 11:57","11d 15h 18m"
"com-custosasccz.top","A","B",9,47.76.140.150,"2025-01-14, 19:42","2025-01-26, 06:25","11d 10h 42m"
"thetollroads.com-custosascsn.top","A","A","",47.76.140.150,"2025-01-14","2025-01-15","1d"
"com-custosasmz.top","A","A","",47.76.140.150,"2025-01-14","2025-01-24","9d"
"com-custosascsx.top","A","A","",47.76.140.150,"2025-01-14","2025-01-18","3d"
"com-custosascnz.top","A","B",2,47.76.140.150,"2025-01-14, 18:59","2025-01-16, 05:23","1d 10h 23m"
"com-custosascnz.top","A","D",11,47.76.140.150,"2025-01-14, 16:40","2025-01-17, 04:20","2d 11h 40m"
"amazon.com-custosasmz.top","A","D",2,47.76.140.150,"2025-01-14, 14:01","2025-01-24, 04:36","9d 14h 34m"
"thetollroads.com-custosascsn.top","A","D",11,47.76.140.150,"2025-01-14, 12:50","2025-01-22, 04:40","7d 15h 50m"
"com-custosasmz.top","A","B",9,47.76.140.150,"2025-01-14, 12:42","2025-01-26, 06:25","11d 17h 42m"
"amazon.com-custosasmz.top","A","B",2,47.76.140.150,"2025-01-14, 12:42","2025-01-26, 06:25","11d 17h 42m"
"thetollroads.com-custosascsn.top","A","B",3,47.76.140.150,"2025-01-14, 11:33","2025-01-26, 10:25","11d 22h 52m"
"thetollroads.com-custosascsx.top","A","B",4,47.76.140.150,"2025-01-14, 08:26","2025-01-26, 10:25","12d 1h 59m"
"usps.com-custosascaz.top","A","C",1,47.76.140.150,"2025-01-14, 08:03","2025-01-14, 08:03","1s"
"usps.com-custosascaz.top","A","B",1,47.76.140.150,"2025-01-14, 08:00","2025-01-14, 08:00","1s"
"com-custosascaz.top","A","B",1,47.76.140.150,"2025-01-14, 07:51","2025-01-14, 07:51","1s"
"com-custosascsn.top","A","D",15,47.76.140.150,"2025-01-14, 04:03","2025-01-23, 05:02","9d 59m 1s"
"anpost.com-winchessn.top","A","D",1,47.76.140.150,"2025-01-14, 03:26","2025-01-14, 03:26","1s"
"anpost.com-winchessn.top","A","B",2,47.76.140.150,"2025-01-14, 03:21","2025-01-26, 06:25","12d 3h 3m"
"com-winchessn.top","A","B",8,47.76.140.150,"2025-01-14, 03:20","2025-01-25, 15:48","11d 12h 28m"
"com-custosascsm.top","A","D",15,47.76.140.150,"2025-01-14, 01:47","2025-01-26, 00:20","11d 22h 33m"
"com-custosascsn.top","A","B",10,47.76.140.150,"2025-01-14, 00:46","2025-01-26, 11:02","12d 10h 15m"
"com-custosascsx.top","A","B",9,47.76.140.150,"2025-01-13, 21:42","2025-01-25, 22:51","12d 1h 8m"
"com-custosascsx.top","A","D",11,47.76.140.150,"2025-01-13, 21:39","2025-01-26, 15:07","12d 17h 28m"
"com-custosascnz.top","A","A","",47.76.140.150,"2025-01-13","2025-01-17","3d"
"thetollroads.com-custosascsx.top","A","A","",47.76.140.150,"2025-01-13","2025-01-26","12d"
"ezdrivema.com-custosascsm.top","A","A","",47.76.140.150,"2025-01-13","2025-01-26","12d"
"com-custosascsm.top","A","A","",47.76.140.150,"2025-01-13","2025-01-26","12d"
"com-custosascsn.top","A","A","",47.76.140.150,"2025-01-13","2025-01-26","12d"
"amazon.com-custosasmz.top","A","A","",47.76.140.150,"2025-01-13","2025-01-26","12d"
"com-custosascsm.top","A","B",10,47.76.140.150,"2025-01-13, 13:14","2025-01-26, 11:02","12d 21h 48m"
"ezdrivema.com-custosascsm.top","A","B",3,47.76.140.150,"2025-01-13, 13:14","2025-01-25, 23:25","12d 10h 10m"
"ezdrivema.com-custosascsm.top","A","D",13,47.76.140.150,"2025-01-13, 13:13","2025-01-14, 10:06","20h 52m 40s"
