Query,Type,Source,Count,Response,First Seen,Last Seen,Duration
"kaehekusia.v.peweza.com","A","A","",8.209.254.0,"2026-04-09","2026-04-10","1d"
"densitynotation.com","A","B",1,8.209.254.0,"2022-10-28, 08:45","2022-10-28, 08:45","1s"
"wroughtcleanse.com","A","B",1,8.209.254.0,"2022-10-28, 08:10","2022-10-28, 08:10","1s"
"widelonger.com","A","B",1,8.209.254.0,"2022-10-28, 08:08","2022-10-28, 08:08","1s"
"rovinghill.com","A","B",1,8.209.254.0,"2022-10-28, 07:58","2022-10-28, 07:58","1s"
"roundedregarded.com","A","B",1,8.209.254.0,"2022-10-28, 07:58","2022-10-28, 07:58","1s"
"reflectoverflow.com","A","B",1,8.209.254.0,"2022-10-28, 07:57","2022-10-28, 07:57","1s"
"obsceneinvolve.com","A","B",1,8.209.254.0,"2022-10-28, 07:53","2022-10-28, 07:53","1s"
"moistengoodness.com","A","B",1,8.209.254.0,"2022-10-28, 07:51","2022-10-28, 07:51","1s"
"manysliding.com","A","B",1,8.209.254.0,"2022-10-28, 07:50","2022-10-28, 07:50","1s"
"lessonplease.com","A","B",1,8.209.254.0,"2022-10-28, 07:47","2022-10-28, 07:47","1s"
"interiorequally.com","A","B",1,8.209.254.0,"2022-10-28, 07:43","2022-10-28, 07:43","1s"
"herbmodel.com","A","B",1,8.209.254.0,"2022-10-28, 07:41","2022-10-28, 07:41","1s"
"hirequarrel.com","A","B",1,8.209.254.0,"2022-10-28, 07:41","2022-10-28, 07:41","1s"
"derisionplank.com","A","B",1,8.209.254.0,"2022-10-28, 07:34","2022-10-28, 07:34","1s"
"breezepole.com","A","B",1,8.209.254.0,"2022-10-28, 07:29","2022-10-28, 07:29","1s"
"ballmurder.com","A","B",1,8.209.254.0,"2022-10-28, 07:27","2022-10-28, 07:27","1s"
"quotienteminent.com","A","C",1,8.209.254.0,"2022-10-28, 03:30","2022-10-28, 03:30","1s"
"prefacething.com","A","B",1,8.209.254.0,"2022-10-27, 22:07","2022-10-27, 22:07","1s"
"slightlyproverb.com","A","B",1,8.209.254.0,"2022-10-27, 21:46","2022-10-27, 21:46","1s"
"densitynotation.com","A","D",29,8.209.254.0,"2022-10-27, 21:01","2022-10-28, 07:12","10h 11m 32s"
"usualrarely.com","A","C",1,8.209.254.0,"2022-10-27, 20:52","2022-10-27, 20:52","1s"
"centurysever.com","A","B",1,8.209.254.0,"2022-10-27, 20:44","2022-10-27, 20:44","1s"
"bustletwofold.com","A","B",1,8.209.254.0,"2022-10-27, 20:35","2022-10-27, 20:35","1s"
"traplightly.com","A","B",1,8.209.254.0,"2022-10-27, 20:31","2022-10-27, 20:31","1s"
"assumingsharpen.com","A","B",2,8.209.254.0,"2022-10-27, 20:27","2022-10-29, 20:05","1d 23h 38m"
"reflectoverflow.com","A","D",44,8.209.254.0,"2022-10-27, 20:17","2022-10-28, 09:10","12h 53m 13s"
"springviscous.com","A","B",1,8.209.254.0,"2022-10-27, 20:16","2022-10-27, 20:16","1s"
"auditoryacross.com","A","B",2,8.209.254.0,"2022-10-27, 20:16","2022-10-29, 20:05","1d 23h 49m"
"vacuumemployed.com","A","B",1,8.209.254.0,"2022-10-27, 20:16","2022-10-27, 20:16","1s"
"usualrarely.com","A","B",1,8.209.254.0,"2022-10-27, 20:15","2022-10-27, 20:15","1s"
