Query,Type,Source,Count,Response,First Seen,Last Seen,Duration
"srv683634.hstgr.cloud","A","A","",5.182.18.184,"2026-06-30","2026-08-15","45d"
"gitlab.gwl.org.uk","A","B",2,5.182.18.184,"2026-05-08, 05:20","2026-05-19, 03:36","10d 22h 16m"
"gitlab-registry.gwl.org.uk","A","B",4,5.182.18.184,"2025-12-24, 16:13","2026-05-08, 05:17","134d 12h 4m"
"checkmk.gwl.org.uk","A","B",3,5.182.18.184,"2025-12-22, 16:13","2026-02-20, 16:12","59d 23h 59m"
"traefik.gwl.org.uk","A","B",3,5.182.18.184,"2025-12-21, 16:13","2026-03-10, 16:27","78d 23h 14m"
"vps.gwl.org.uk","A","A","",5.182.18.184,"2025-09-01","2026-08-13","345d"
"vps.gwl.org.uk","A","D",2,5.182.18.184,"2025-08-29, 20:52","2025-08-30, 01:49","4h 57m 5s"
"gitlab-registry.gwl.org.uk","A","A","",5.182.18.184,"2025-08-28","2026-08-13","349d"
"gitlab.gwl.org.uk","A","A","",5.182.18.184,"2025-08-27","2026-08-15","352d"
"_dmarc.5.182.18.184.sslip.io","A","D",1,5.182.18.184,"2025-08-26, 14:57","2025-08-26, 14:57","1s"
"gitlab.gwl.org.uk","A","D",81,5.182.18.184,"2025-08-26, 08:06","2026-08-04, 23:14","343d 15h 8m"
"gitlab-registry.gwl.org.uk","A","D",77,5.182.18.184,"2025-08-26, 08:06","2026-08-04, 23:15","343d 15h 8m"
"checkmk.gwl.org.uk","A","A","",5.182.18.184,"2025-08-24","2026-02-25","184d"
"checkmk.gwl.org.uk","A","D",65,5.182.18.184,"2025-08-24, 10:10","2026-02-27, 02:54","186d 17h 44m"
"nextcloud.gwl.org.uk","A","A","",5.182.18.184,"2025-08-23","2026-02-27","187d"
"maseh-barile.borojolo.ir","A","A","",5.182.18.184,"2025-06-25","2025-06-26","1d"
"nextcloud.gwl.org.uk","A","D",61,5.182.18.184,"2025-02-01, 13:40","2026-02-28, 01:58","1y 26d 12h"
"nextcloud.gwl.org.uk","A","B",3,5.182.18.184,"2025-02-01, 12:24","2026-01-11, 10:41","343d 22h 16m"
"pi-hole.gwl.org.uk","A","D",71,5.182.18.184,"2025-01-30, 01:26","2026-02-28, 04:31","1y 29d 3h"
"traefik.gwl.org.uk","A","D",99,5.182.18.184,"2025-01-29, 20:13","2026-03-12, 21:25","1y 42d 12m"
"pi-hole.gwl.org.uk","A","A","",5.182.18.184,"2025-01-29","2026-02-26","1y 27d"
"pi-hole.gwl.org.uk","A","B",5,5.182.18.184,"2025-01-29, 17:22","2026-02-19, 16:13","1y 20d 22h"
"zulip.gwl.org.uk","A","B",5,5.182.18.184,"2025-01-29, 14:29","2026-04-15, 19:48","1y 76d 4h"
"traefik.gwl.org.uk","A","A","",5.182.18.184,"2025-01-28","2026-03-16","1y 46d"
"zulip.gwl.org.uk","A","A","",5.182.18.184,"2025-01-27","2026-08-15","1y 199d"
"zulip.gwl.org.uk","A","D",128,5.182.18.184,"2025-01-27, 11:29","2026-08-10, 00:27","1y 194d 11h"
"mail.gwl.org.uk","A","B",65,5.182.18.184,"2025-01-27, 11:27","2026-07-22, 00:18","1y 175d 11h"
"mail.gwl.org.uk","A","D",369,5.182.18.184,"2025-01-22, 15:49","2026-08-14, 19:54","1y 204d 3h"
"mail.gwl.org.uk","A","A","",5.182.18.184,"2025-01-21","2026-08-12","1y 202d"
"gwl.org.uk","A","B",299,5.182.18.184,"2025-01-04, 15:15","2026-02-28, 15:29","1y 55d 13m"
"gwl.org.uk","A","A","",5.182.18.184,"2025-01-03","2026-02-25","1y 52d"
"gwl.org.uk","A","D",324,5.182.18.184,"2025-01-03, 01:44","2026-02-28, 22:04","1y 56d 20h"
"birturk.capitalpulse.me","A","A","",5.182.18.184,"2024-12-11","2024-12-12","1d"
"birturk.capitalpulse.me","A","B",1,5.182.18.184,"2024-12-08, 13:06","2024-12-08, 13:06","1s"
"www.5.182.18.184.sslip.io","A","A","",5.182.18.184,"2024-11-18","2026-08-10","1y 264d"
"digitalassetadvisor.info","A","C",1,5.182.18.184,"2024-08-13, 03:41","2024-08-13, 03:41","1s"
"mail.digitalassetadvisor.info","A","A","",5.182.18.184,"2024-08-08","2025-05-09","273d"
"digitalassetadvisor.info","A","B",110,5.182.18.184,"2024-08-08, 16:31","2025-05-08, 23:00","273d 6h 28m"
"www.digitalassetadvisor.info","A","A","",5.182.18.184,"2024-08-07","2025-05-02","267d"
"mail.digitalassetadvisor.info","A","B",5,5.182.18.184,"2024-08-04, 21:57","2025-05-06, 16:32","274d 18h 35m"
"5.182.18.184.sslip.io","A","D",22,5.182.18.184,"2024-08-03, 10:29","2026-07-31, 11:07","1y 362d 37m"
"5.182.18.184.sslip.io","A","A","",5.182.18.184,"2024-08-02","2026-08-13","2y 10d"
"digitalassetadvisor.info","A","A","",5.182.18.184,"2024-07-31","2025-05-08","280d"
"mail.test.firsthse.com","A","D",3,5.182.18.184,"2023-12-02, 12:52","2023-12-02, 12:52","1s"
"mail.firsthse.com","A","D",316,5.182.18.184,"2023-10-22, 18:50","2024-10-25, 18:50","1y 4d 7s"
"test.firsthse.com","A","D",309,5.182.18.184,"2023-10-22, 18:50","2024-10-25, 18:50","1y 4d 7s"
"mail.firsthse.com","A","D",3858,5.182.18.184,"2023-10-18, 05:58","2025-02-05, 19:46","1y 111d 14h"
"mail.firsthse.com","A","A","",5.182.18.184,"2023-10-17","2025-02-16","1y 122d"
