Query,Type,Source,Count,Response,First Seen,Last Seen,Duration
"wushiland.sbmtec.com","A","B",8,72.167.47.164,"2026-01-24, 15:37","2026-07-30, 15:44","186d 23h 7m"
"wushiland.sbmtec.com","A","D",123,72.167.47.164,"2026-01-24, 15:37","2026-08-10, 08:04","197d 15h 27m"
"wushiland.sbmtec.com","A","A","",72.167.47.164,"2026-01-23","2026-08-12","200d"
"mail.sbmtec.com","A","B",1,72.167.47.164,"2026-01-08, 06:15","2026-01-08, 06:15","1s"
"mail.sbmtec.com","A","D",17,72.167.47.164,"2026-01-08, 06:14","2026-01-08, 07:51","1h 37m 17s"
"cpcalendars.wpt-aemf.72-167-47-164.cpanel.site","A","A","",72.167.47.164,"2025-09-29","2025-09-30","1d"
"www.wpt-aemf.72-167-47-164.cpanel.site","A","A","",72.167.47.164,"2025-09-29","2025-09-30","1d"
"webmail.wpt-aemf.72-167-47-164.cpanel.site","A","A","",72.167.47.164,"2025-09-29","2025-09-30","1d"
"autodiscover.wpt-aemf.72-167-47-164.cpanel.site","A","A","",72.167.47.164,"2025-09-29","2025-09-30","1d"
"webmail.meetfresh.us","A","B",3,72.167.47.164,"2025-06-09, 06:35","2025-12-12, 02:51","185d 21h 15m"
"1ubfu2y9.m2wgaf12prcp66dypltcqmmnb1sa9999.1ol2lsum3llrr6kht2rm1hi9.claudfront.net","A","A","",72.167.47.164,"2025-05-02","2025-05-03","1d"
"bhqqpni9.33nn3ymkqlw4i4k4vaqjullknp1a9999.tud521hghh1asy44312pc5y9.claudfront.net","A","A","",72.167.47.164,"2025-04-27","2025-04-28","1d"
"webmail.meetfresh.us","A","D",89,72.167.47.164,"2024-08-20, 22:42","2026-01-08, 18:55","1y 140d 21h"
"webmail.meetfresh.us","A","A","",72.167.47.164,"2024-07-31","2026-08-15","2y 14d"
"ftp.sufeispa.com","A","A","",72.167.47.164,"2024-05-31","2024-06-01","1d"
"admin.sbmtec.com","A","D",31,72.167.47.164,"2024-03-07, 06:02","2026-08-14, 05:43","2y 159d 22h"
"www.meetfresh.us","A","B",1,72.167.47.164,"2023-10-22, 13:02","2023-10-22, 13:02","1s"
"meetfresh.us","A","B",474,72.167.47.164,"2023-10-22, 02:51","2026-08-14, 01:58","2y 296d 23h"
"www.meetfresh.us","A","D",22,72.167.47.164,"2023-10-22, 02:38","2023-10-23, 09:46","1d 7h 8m"
