Query,Type,Source,Count,Response,First Seen,Last Seen,Duration
"5a31c476-6e05-4d9f-9f73-c0b31f8a599a.random.tolltennis.site","A","A","",45.35.57.16,"2024-02-03","2024-02-04","1d"
"de784e53-9004-4151-8ef3-2d2a10132483.random.tolltennis.site","A","A","",45.35.57.16,"2024-01-28","2024-01-29","1d"
"d166ab3b-91ab-410f-a50d-c702fa55858d.random.tolltennis.site","A","A","",45.35.57.16,"2024-01-19","2024-01-20","1d"
"2f4a908b-6353-4712-a83a-0da33633d91a.random.tolltennis.site","A","A","",45.35.57.16,"2024-01-16","2024-01-17","1d"
"8bdde2a7-b608-40f7-bb8e-9b0acf3cf89b.random.tolltennis.site","A","A","",45.35.57.16,"2024-01-15","2024-01-16","1d"
"dbd9fffe-dfc5-43f4-8038-7db8c3ca093a.random.tolltennis.site","A","A","",45.35.57.16,"2024-01-14","2024-01-15","1d"
"2f5e24e3-f903-4bfc-8599-8de1906f0b73.random.tolltennis.site","A","A","",45.35.57.16,"2024-01-10","2024-01-11","1d"
"6896f2b6-9c06-40bf-a9f6-f958adae7b2e.random.tolltennis.site","A","A","",45.35.57.16,"2024-01-07","2024-01-08","1d"
"po.tolltennis.site","A","A","",45.35.57.16,"2023-12-27","2023-12-28","1d"
"mail.comune.tolltennis.site","A","A","",45.35.57.16,"2023-12-27","2023-12-28","1d"
"mx02.tolltennis.site","A","A","",45.35.57.16,"2023-12-27","2023-12-28","1d"
"internet.tolltennis.site","A","A","",45.35.57.16,"2023-12-27","2023-12-28","1d"
"ms.tolltennis.site","A","D",1,45.35.57.16,"2023-12-25, 02:13","2023-12-25, 02:13","1s"
"posta.tolltennis.site","A","D",1,45.35.57.16,"2023-12-25, 02:13","2023-12-25, 02:13","1s"
"mx01.tolltennis.site","A","D",1,45.35.57.16,"2023-12-25, 02:11","2023-12-25, 02:11","1s"
"mta1.tolltennis.site","A","D",2,45.35.57.16,"2023-12-25, 00:03","2023-12-25, 00:03","1s"
"vps.tolltennis.site","A","D",2,45.35.57.16,"2023-12-25, 00:02","2023-12-25, 00:02","1s"
"relay2.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 23:59","2023-12-24, 23:59","1s"
"vmail.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 23:58","2023-12-24, 23:58","1s"
"mta.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 23:57","2023-12-24, 23:57","1s"
"mbox.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 23:57","2023-12-24, 23:57","1s"
"mx02.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 23:56","2023-12-24, 23:56","1s"
"mail9.tolltennis.site","A","D",1,45.35.57.16,"2023-12-24, 23:56","2023-12-24, 23:56","1s"
"mail5.tolltennis.site","A","D",1,45.35.57.16,"2023-12-24, 23:55","2023-12-24, 23:55","1s"
"mail7.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 23:55","2023-12-24, 23:55","1s"
"mx0.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 23:54","2023-12-24, 23:54","1s"
"eml.tolltennis.site","A","D",1,45.35.57.16,"2023-12-24, 22:43","2023-12-24, 22:43","1s"
"internet.tolltennis.site","A","D",4,45.35.57.16,"2023-12-24, 22:43","2023-12-25, 00:03","1h 20m 33s"
"owa.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 22:42","2023-12-24, 22:42","1s"
"thor.tolltennis.site","A","D",4,45.35.57.16,"2023-12-24, 22:42","2023-12-25, 00:02","1h 20m 25s"
"mailapp.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 22:42","2023-12-24, 22:42","1s"
"srv.tolltennis.site","A","D",4,45.35.57.16,"2023-12-24, 22:41","2023-12-25, 00:01","1h 20m 7s"
"antispam.tolltennis.site","A","D",1,45.35.57.16,"2023-12-24, 22:41","2023-12-24, 22:41","1s"
"box.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 22:40","2023-12-24, 22:40","1s"
"mailrelay.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 22:40","2023-12-24, 22:40","1s"
"po.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 22:37","2023-12-24, 22:37","1s"
"mail.comune.tolltennis.site","A","D",1,45.35.57.16,"2023-12-24, 22:37","2023-12-24, 22:37","1s"
"relay1.tolltennis.site","A","D",3,45.35.57.16,"2023-12-24, 22:37","2023-12-24, 23:57","1h 20m 20s"
"comune.tolltennis.site","A","D",3,45.35.57.16,"2023-12-24, 22:36","2023-12-24, 22:37","1m 6s"
"smtp.comune.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 22:36","2023-12-24, 22:36","1s"
"mailhost.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 22:34","2023-12-24, 22:34","1s"
"correo.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 22:33","2023-12-25, 02:10","3h 37m 24s"
"dns.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 18:29","2023-12-24, 18:29","1s"
"seed.tolltennis.site","A","D",2,45.35.57.16,"2023-12-24, 18:29","2023-12-24, 18:29","1s"
