Query,Type,Source,Count,Response,First Seen,Last Seen,Duration
"avosozihip.net","A","A","",94.26.84.118,"2025-04-25","2025-04-26","1d"
"mail.servicahskce.jp","A","D",24,94.26.84.118,"2023-07-15, 09:46","2023-08-11, 10:44","27d 58m 15s"
"mail.servicahskce.jp","A","B",4,94.26.84.118,"2023-07-15, 09:45","2023-08-14, 20:51","30d 11h 5m"
"smtp.servicahskce.jp","A","A","",94.26.84.118,"2023-07-14","2023-07-15","1d"
"pop.servicahskce.jp","A","A","",94.26.84.118,"2023-07-14","2023-07-15","1d"
"imap.servicahskce.jp","A","A","",94.26.84.118,"2023-07-14","2023-07-15","1d"
"mail.servicahskce.jp","A","A","",94.26.84.118,"2023-07-14","2023-07-15","1d"
"www.acridnear.observer","A","D",33,94.26.84.118,"2023-04-10, 05:14","2023-08-08, 04:53","119d 23h 38m"
"www.tigered.day","A","D",51,94.26.84.118,"2023-04-05, 18:20","2023-08-17, 20:50","134d 2h 30m"
"www.888connections.com","A","D",9,94.26.84.118,"2023-03-30, 18:10","2023-05-18, 19:48","49d 1h 38m"
"www.getadvocatusagency.com","A","D",4,94.26.84.118,"2023-03-26, 21:19","2023-04-26, 16:48","30d 19h 28m"
"www.888connections.com","A","B",16,94.26.84.118,"2023-03-22, 00:49","2023-05-17, 00:49","55d 23h 59m"
"ukmayoawzjr.acridnear.observer","A","A","",94.26.84.118,"2023-03-02","2023-03-03","1d"
"smtp.acridnear.observer","A","A","",94.26.84.118,"2023-03-02","2023-03-03","1d"
"rgfulcepnfi.acridnear.observer","A","A","",94.26.84.118,"2023-03-02","2023-03-03","1d"
"mail.acridnear.observer","A","A","",94.26.84.118,"2023-03-02","2023-03-03","1d"
"mail.getadvocatusagency.com","A","D",11,94.26.84.118,"2022-11-20, 02:10","2023-05-31, 06:36","192d 3h 25m"
"mail.888connections.com","A","B",51,94.26.84.118,"2022-11-17, 08:02","2023-05-17, 00:49","180d 15h 46m"
"roundcube.getadvocatusagency.com","A","B",4,94.26.84.118,"2022-11-16, 18:13","2023-05-07, 20:56","172d 1h 42m"
"roundcube.888connections.com","A","B",3,94.26.84.118,"2022-11-16, 18:12","2023-01-16, 00:11","60d 5h 58m"
"roundcube.888connections.com","A","D",41,94.26.84.118,"2022-11-16, 18:01","2023-05-27, 18:31","191d 23h 30m"
"roundcube.getadvocatusagency.com","A","D",41,94.26.84.118,"2022-11-16, 18:00","2023-05-27, 00:52","191d 5h 51m"
"aapanel.888connections.com","A","B",3,94.26.84.118,"2022-11-16, 17:11","2023-03-18, 00:10","121d 5h 59m"
"aapanel.888connections.com","A","D",43,94.26.84.118,"2022-11-16, 17:04","2023-05-18, 03:49","182d 9h 44m"
"getadvocatusagency.com","A","D",55,94.26.84.118,"2022-11-16, 16:27","2023-05-29, 06:16","193d 12h 48m"
"ns1.getadvocatusagency.com","A","D",21389,94.26.84.118,"2022-11-16, 16:27","2023-11-20, 07:54","1y 3d 15h"
"ns2.getadvocatusagency.com","A","D",21388,94.26.84.118,"2022-11-16, 16:27","2023-11-20, 07:54","1y 3d 15h"
"mail.888connections.com","A","D",25,94.26.84.118,"2022-11-16, 11:41","2023-05-27, 08:47","191d 20h 6m"
"www.getadvocatusagency.com","A","B",6,94.26.84.118,"2022-11-16, 06:44","2023-05-11, 04:44","175d 20h 59m"
"getadvocatusagency.com","A","B",40,94.26.84.118,"2022-11-16, 06:42","2023-05-29, 03:52","193d 20h 10m"
"ns1.getadvocatusagency.com","A","B",63,94.26.84.118,"2022-11-16, 06:42","2023-11-05, 18:59","354d 12h 16m"
"ns2.getadvocatusagency.com","A","B",63,94.26.84.118,"2022-11-16, 06:42","2023-11-05, 18:59","354d 12h 16m"
"mail.getadvocatusagency.com","A","B",15,94.26.84.118,"2022-11-16, 06:42","2023-05-29, 03:52","193d 20h 10m"
"getadvocatusagency.com","A","A","",94.26.84.118,"2022-11-15","2023-06-01","197d"
"ns1.getadvocatusagency.com","A","A","",94.26.84.118,"2022-11-15","2023-07-30","256d"
"aapanel.888connections.com","A","A","",94.26.84.118,"2022-11-15","2023-05-30","195d"
"mail.888connections.com","A","A","",94.26.84.118,"2022-11-15","2023-05-31","196d"
"roundcube.888connections.com","A","A","",94.26.84.118,"2022-11-15","2023-06-01","197d"
"ns2.getadvocatusagency.com","A","A","",94.26.84.118,"2022-11-15","2023-06-30","226d"
"mail.getadvocatusagency.com","A","A","",94.26.84.118,"2022-11-15","2023-06-01","197d"
"roundcube.getadvocatusagency.com","A","A","",94.26.84.118,"2022-11-15","2023-06-01","197d"
"www.getadvocatusagency.com","A","A","",94.26.84.118,"2022-11-15","2023-06-01","197d"
"ns1.888connections.com","A","D",318,94.26.84.118,"2022-11-15, 17:50","2023-11-18, 17:50","1y 2d 23h"
"ns2.888connections.com","A","D",318,94.26.84.118,"2022-11-15, 17:50","2023-11-18, 17:50","1y 2d 23h"
"ns1.getadvocatusagency.com","A","D",319,94.26.84.118,"2022-11-15, 17:50","2023-11-19, 17:50","1y 3d 23h"
"ns2.getadvocatusagency.com","A","D",319,94.26.84.118,"2022-11-15, 17:50","2023-11-19, 17:50","1y 3d 23h"
"888connections.com","A","B",140,94.26.84.118,"2022-11-15, 11:30","2023-05-17, 00:49","182d 12h 19m"
"ns1.888connections.com","A","B",163,94.26.84.118,"2022-11-15, 11:30","2023-11-07, 18:53","357d 7h 23m"
"ns2.888connections.com","A","B",163,94.26.84.118,"2022-11-15, 11:30","2023-11-07, 18:53","357d 7h 23m"
"888connections.com","A","D",302,94.26.84.118,"2022-11-15, 11:25","2023-05-31, 22:42","197d 10h 16m"
"ns1.888connections.com","A","D",28940,94.26.84.118,"2022-11-15, 11:25","2023-11-18, 08:27","1y 2d 21h"
"ns2.888connections.com","A","D",28936,94.26.84.118,"2022-11-15, 11:25","2023-11-18, 08:27","1y 2d 21h"
"ns1.888connections.com","A","A","",94.26.84.118,"2022-11-14","2023-07-23","250d"
"ns2.888connections.com","A","A","",94.26.84.118,"2022-11-14","2023-07-24","251d"
"888connections.com","A","A","",94.26.84.118,"2022-11-14","2023-06-01","198d"
