Query,Type,Source,Count,Response,First Seen,Last Seen,Duration
"cattrans.net","A","B",142,8.209.245.224,"2025-03-16, 17:44","2026-08-09, 23:24","1y 146d 5h"
"www.cattrans.net","A","B",5,8.209.245.224,"2025-03-16, 17:44","2026-07-15, 14:41","1y 120d 20h"
"cattrans.net","A","D",453,8.209.245.224,"2025-03-16, 05:07","2026-08-15, 07:27","1y 152d 2h"
"www.cattrans.net","A","D",166,8.209.245.224,"2025-03-16, 05:07","2026-08-14, 12:49","1y 151d 7h"
"cattrans.net","A","A","",8.209.245.224,"2025-03-15","2026-08-15","1y 152d"
"www.cattrans.net","A","A","",8.209.245.224,"2025-03-15","2026-08-15","1y 152d"
"lepang.cn","A","C",1,8.209.245.224,"2023-12-24, 18:52","2023-12-24, 18:52","1s"
"cattrans.com","A","B",307,8.209.245.224,"2023-11-14, 21:30","2026-08-11, 05:05","2y 270d 6h"
"www.cattrans.com","A","B",40,8.209.245.224,"2023-11-14, 21:30","2026-07-10, 00:49","2y 238d 2h"
"cattrans.com","A","D",2453,8.209.245.224,"2023-11-14, 21:29","2026-08-15, 07:12","2y 274d 8h"
"www.cattrans.com","A","D",1112,8.209.245.224,"2023-11-14, 21:29","2026-08-15, 12:54","2y 274d 14h"
"www.cattrans.com","A","A","",8.209.245.224,"2023-11-13","2026-08-15","2y 275d"
"cattrans.com","A","A","",8.209.245.224,"2023-11-13","2026-08-13","2y 273d"
"www.tensobasu.com","A","D",124,8.209.245.224,"2023-10-29, 23:14","2025-10-05, 23:38","1y 342d 24m"
"www.tensobasu.com","A","A","",8.209.245.224,"2023-10-29","2025-10-26","1y 362d"
"www.tensobasu.com","A","B",3,8.209.245.224,"2023-10-26, 11:01","2025-03-31, 20:55","1y 157d 9h"
"tensobasu.com","A","B",175,8.209.245.224,"2023-10-26, 11:00","2025-10-17, 06:49","1y 356d 19h"
"tensobasu.com","A","D",314,8.209.245.224,"2023-10-26, 10:46","2025-10-23, 02:07","1y 362d 15h"
"tensobasu.com","A","A","",8.209.245.224,"2023-10-25","2025-10-26","2y 1d"
"photo.ieikk.com","A","B",1,8.209.245.224,"2023-08-02, 21:40","2023-08-02, 21:40","1s"
"_.s1.rudesee.online","A","B",1,8.209.245.224,"2023-06-05, 22:16","2023-06-05, 22:16","1s"
"_._domainkey.s1.rudesee.online","A","B",1,8.209.245.224,"2023-06-05, 22:16","2023-06-05, 22:16","1s"
"www.rudesee.online","A","B",1,8.209.245.224,"2023-06-05, 22:16","2023-06-05, 22:16","1s"
"emv1.rudesee.online","A","B",1,8.209.245.224,"2023-06-05, 22:16","2023-06-05, 22:16","1s"
"_.service.rudesee.online","A","B",1,8.209.245.224,"2023-06-05, 22:16","2023-06-05, 22:16","1s"
"_._domainkey.service.rudesee.online","A","B",1,8.209.245.224,"2023-06-05, 22:16","2023-06-05, 22:16","1s"
"_._domainkey.rudesee.online","A","B",1,8.209.245.224,"2023-06-05, 22:16","2023-06-05, 22:16","1s"
"autodiscover.etanur.online","A","A","",8.209.245.224,"2023-06-05","2023-06-06","1d"
"webmail.etanur.online","A","D",1,8.209.245.224,"2023-05-29, 10:14","2023-05-29, 10:14","1s"
"www.rudesee.online","A","D",4,8.209.245.224,"2023-04-26, 23:25","2023-05-04, 16:36","7d 17h 10m"
"www.tobidaiko.com","A","B",28,8.209.245.224,"2023-04-24, 22:54","2026-08-09, 14:28","3y 107d 15h"
"www.ieikk.com","A","B",27,8.209.245.224,"2023-04-24, 08:58","2025-04-18, 22:34","1y 360d 13h"
"www.tobidaiko.com","A","D",718,8.209.245.224,"2023-04-19, 09:41","2026-08-15, 13:48","3y 119d 4h"
"anime.rakusama.com","A","B",26,8.209.245.224,"2023-04-18, 09:05","2025-03-06, 00:37","1y 322d 16h"
"ieikk.com","A","B",159,8.209.245.224,"2023-04-17, 04:11","2025-05-09, 06:05","2y 23d 1h"
"photo.yaya.net","A","D",61,8.209.245.224,"2023-04-06, 08:28","2023-11-10, 08:51","218d 1h 22m"
"anime.rakusama.com","A","D",372,8.209.245.224,"2023-04-03, 00:15","2025-10-13, 20:05","2y 194d 19h"
"www.yaya.net","A","D",198,8.209.245.224,"2023-03-31, 05:58","2023-11-11, 22:50","225d 17h 51m"
"www.etanur.online","A","D",9,8.209.245.224,"2023-03-29, 05:37","2023-06-08, 17:22","71d 11h 45m"
"www.yaya.net","A","B",51,8.209.245.224,"2023-03-21, 20:56","2023-11-04, 14:46","227d 17h 49m"
"photo.ieikk.com","A","A","",8.209.245.224,"2023-03-21","2023-08-03","134d"
"tobidaiko.com","A","B",503,8.209.245.224,"2023-03-21, 11:06","2026-08-14, 02:06","3y 146d 14h"
"photo.ieikk.com","A","D",11,8.209.245.224,"2023-03-19, 14:01","2023-08-02, 21:41","136d 7h 39m"
"ieikk.com","A","D",1548,8.209.245.224,"2023-03-19, 08:29","2025-05-17, 10:22","2y 60d 1h"
