Query,Type,Source,Count,Response,First Seen,Last Seen,Duration
"mbsa.millicational.net","A","D",1,185.196.3.159,"2023-01-13, 06:55","2023-01-13, 06:55","1s"
"gm7z.startupnetwork.shop","A","D",2,185.196.3.159,"2022-11-01, 17:11","2022-11-01, 17:21","9m 56s"
"gm7z.startupnetwork.shop","A","B",2,185.196.3.159,"2022-10-20, 03:14","2022-11-14, 13:46","25d 11h 32m"
"vastc.software","A","D",1,185.196.3.159,"2022-09-15, 12:25","2022-09-15, 12:25","1s"
"colla.business","A","B",1,185.196.3.159,"2022-09-15, 05:43","2022-09-15, 05:43","1s"
"bassbackbone.lighting","A","D",1,185.196.3.159,"2022-09-14, 07:03","2022-09-14, 07:03","1s"
"rapidt.exposed","A","D",1,185.196.3.159,"2022-09-13, 23:14","2022-09-13, 23:14","1s"
"savag.software","A","A","",185.196.3.159,"2022-09-13","2022-09-14","1d"
"capta.business","A","B",1,185.196.3.159,"2022-09-13, 07:38","2022-09-13, 07:38","1s"
"needd.software","A","D",1,185.196.3.159,"2022-09-13, 02:58","2022-09-13, 02:58","1s"
"initia.exposed","A","D",1,185.196.3.159,"2022-09-11, 17:25","2022-09-11, 17:25","1s"
"harshlifeless.exposed","A","D",1,185.196.3.159,"2022-09-11, 01:12","2022-09-11, 01:12","1s"
"fragm.software","A","A","",185.196.3.159,"2022-09-10","2022-09-11","1d"
"fermentcapital.exposed","A","D",1,185.196.3.159,"2022-09-10, 19:05","2022-09-10, 19:05","1s"
"sacre.software","A","A","",185.196.3.159,"2022-09-09","2022-09-10","1d"
"dashex.exposed","A","D",2,185.196.3.159,"2022-09-09, 16:00","2022-09-10, 02:16","10h 15m 42s"
"infus.software","A","A","",185.196.3.159,"2022-09-07","2022-09-09","1d"
"birch.software","A","B",1,185.196.3.159,"2022-09-07, 08:58","2022-09-07, 08:58","1s"
"twitchcharm.properties","A","D",1,185.196.3.159,"2022-09-06, 23:58","2022-09-06, 23:58","1s"
"whistl.exposed","A","D",2,185.196.3.159,"2022-09-06, 16:45","2022-09-08, 16:30","1d 23h 44m"
"tidesm.exposed","A","D",5,185.196.3.159,"2022-09-06, 13:57","2022-09-15, 04:16","8d 14h 19m"
"retor.software","A","A","",185.196.3.159,"2022-09-05","2022-09-06","1d"
"patie.software","A","A","",185.196.3.159,"2022-09-05","2022-09-06","1d"
"stabl.business","A","A","",185.196.3.159,"2022-09-05","2022-09-06","1d"
"wildc.business","A","A","",185.196.3.159,"2022-09-05","2022-09-13","7d"
"dress.software","A","A","",185.196.3.159,"2022-09-05","2022-09-11","5d"
"stockd.exposed","A","D",2,185.196.3.159,"2022-09-05, 15:41","2022-09-14, 18:41","9d 3h 11s"
"spott.software","A","D",2,185.196.3.159,"2022-09-05, 08:35","2022-09-14, 17:01","9d 8h 26m"
"salien.exposed","A","D",1,185.196.3.159,"2022-09-05, 03:56","2022-09-05, 03:56","1s"
"gospe.software","A","D",1,185.196.3.159,"2022-09-05, 02:18","2022-09-05, 02:18","1s"
"gloom.software","A","D",3,185.196.3.159,"2022-09-05, 02:02","2022-09-11, 03:53","6d 1h 51m"
"wavee.software","A","A","",185.196.3.159,"2022-09-04","2022-09-07","2d"
"gospe.software","A","A","",185.196.3.159,"2022-09-04","2022-09-05","1d"
"subli.software","A","A","",185.196.3.159,"2022-09-04","2022-09-14","9d"
"bette.software","A","A","",185.196.3.159,"2022-09-04","2022-09-07","2d"
"needd.software","A","A","",185.196.3.159,"2022-09-04","2022-09-05","1d"
"pilla.software","A","D",1,185.196.3.159,"2022-09-04, 17:29","2022-09-04, 17:29","1s"
"patie.software","A","D",2,185.196.3.159,"2022-09-04, 17:10","2022-09-13, 12:48","8d 19h 37m"
"nailp.software","A","D",1,185.196.3.159,"2022-09-04, 13:47","2022-09-04, 13:47","1s"
"laughspin.software","A","D",1,185.196.3.159,"2022-09-04, 08:17","2022-09-04, 08:17","1s"
"minglewilling.exposed","A","D",1,185.196.3.159,"2022-09-04, 06:01","2022-09-04, 06:01","1s"
"immatu.exposed","A","D",2,185.196.3.159,"2022-09-04, 04:05","2022-09-04, 22:30","18h 24m 55s"
"fundthinking.properties","A","D",1,185.196.3.159,"2022-09-04, 01:01","2022-09-04, 01:01","1s"
"limeneat.lighting","A","A","",185.196.3.159,"2022-09-03","2022-09-14","10d"
"hound.software","A","A","",185.196.3.159,"2022-09-03","2022-09-15","11d"
"perve.software","A","A","",185.196.3.159,"2022-09-03","2022-09-09","5d"
"obser.software","A","A","",185.196.3.159,"2022-09-03","2022-09-14","10d"
"nailp.software","A","A","",185.196.3.159,"2022-09-03","2022-09-09","5d"
"spott.software","A","A","",185.196.3.159,"2022-09-03","2022-09-05","1d"
"pilla.software","A","A","",185.196.3.159,"2022-09-03","2022-09-12","8d"
"gloom.software","A","A","",185.196.3.159,"2022-09-03","2022-09-05","1d"
"laughspin.software","A","A","",185.196.3.159,"2022-09-03","2022-09-12","8d"
"advan.software","A","A","",185.196.3.159,"2022-09-03","2022-09-11","7d"
"strea.software","A","A","",185.196.3.159,"2022-09-03","2022-09-10","6d"
"reedd.business","A","A","",185.196.3.159,"2022-09-03","2022-09-06","2d"
"inqui.software","A","D",1,185.196.3.159,"2022-09-03, 19:25","2022-09-03, 19:25","1s"
"vesic.software","A","D",4,185.196.3.159,"2022-09-03, 18:17","2022-09-04, 08:35","14h 18m 7s"
"bette.software","A","B",2,185.196.3.159,"2022-09-03, 03:51","2022-09-05, 18:15","2d 14h 24m"
"choru.software","A","B",1,185.196.3.159,"2022-09-03, 03:51","2022-09-03, 03:51","1s"
"digni.software","A","B",1,185.196.3.159,"2022-09-03, 03:51","2022-09-03, 03:51","1s"
"dress.software","A","B",2,185.196.3.159,"2022-09-03, 03:51","2022-09-08, 08:44","5d 4h 53m"
"exces.software","A","B",2,185.196.3.159,"2022-09-03, 03:51","2022-09-12, 08:56","9d 5h 4m"
"formu.software","A","B",2,185.196.3.159,"2022-09-03, 03:51","2022-09-14, 11:05","11d 7h 14m"
"fragm.software","A","B",1,185.196.3.159,"2022-09-03, 03:51","2022-09-03, 03:51","1s"
"gloom.software","A","B",1,185.196.3.159,"2022-09-03, 03:51","2022-09-03, 03:51","1s"
"gospe.software","A","B",1,185.196.3.159,"2022-09-03, 03:51","2022-09-03, 03:51","1s"
"infus.software","A","B",1,185.196.3.159,"2022-09-03, 03:51","2022-09-03, 03:51","1s"
"inqui.software","A","B",1,185.196.3.159,"2022-09-03, 03:51","2022-09-03, 03:51","1s"
"needd.software","A","B",1,185.196.3.159,"2022-09-03, 03:51","2022-09-03, 03:51","1s"
"resin.software","A","B",2,185.196.3.159,"2022-09-03, 03:51","2022-09-06, 08:55","3d 5h 3m"
"retor.software","A","B",1,185.196.3.159,"2022-09-03, 03:51","2022-09-03, 03:51","1s"
"sacre.software","A","B",2,185.196.3.159,"2022-09-03, 03:51","2022-09-05, 08:35","2d 4h 43m"
"savag.software","A","B",2,185.196.3.159,"2022-09-03, 03:51","2022-09-05, 10:00","2d 6h 9m"
"strea.software","A","B",1,185.196.3.159,"2022-09-03, 03:51","2022-09-03, 03:51","1s"
"subli.software","A","B",1,185.196.3.159,"2022-09-03, 03:51","2022-09-03, 03:51","1s"
"vesic.software","A","B",1,185.196.3.159,"2022-09-03, 03:51","2022-09-03, 03:51","1s"
"wildo.software","A","B",1,185.196.3.159,"2022-09-03, 03:51","2022-09-03, 03:51","1s"
"vastc.software","A","A","",185.196.3.159,"2022-09-02","2022-09-09","6d"
"deale.software","A","A","",185.196.3.159,"2022-09-02","2022-09-10","7d"
"vesic.software","A","A","",185.196.3.159,"2022-09-02","2022-09-06","3d"
"steri.software","A","A","",185.196.3.159,"2022-09-02","2022-09-07","4d"
"proce.software","A","A","",185.196.3.159,"2022-09-02","2022-09-15","12d"
"gravit.exposed","A","A","",185.196.3.159,"2022-09-02","2022-09-11","8d"
