Query,Type,Source,Count,Response,First Seen,Last Seen,Duration
"have-family-dinner-this-is-alive.ruzzy.com","A","A","",47.245.58.189,"2025-07-22","2025-07-23","1d"
"47.245.58.189.sslip.io","A","A","",47.245.58.189,"2025-03-01","2025-03-02","1d"
"dialoguesevere.com","A","B",1,47.245.58.189,"2022-12-15, 21:41","2022-12-15, 21:41","1s"
"planepresence.com","A","A","",47.245.58.189,"2022-12-09","2022-12-10","1d"
"engagevolatile.com","A","A","",47.245.58.189,"2022-12-09","2022-12-10","1d"
"www.planepresence.com","A","B",1,47.245.58.189,"2022-12-09, 06:48","2022-12-09, 06:48","1s"
"planepresence.com","A","B",1,47.245.58.189,"2022-12-09, 06:47","2022-12-09, 06:47","1s"
"www.engagevolatile.com","A","B",1,47.245.58.189,"2022-12-09, 06:37","2022-12-09, 06:37","1s"
"engagevolatile.com","A","B",1,47.245.58.189,"2022-12-09, 06:35","2022-12-09, 06:35","1s"
"planetnitrogen.com","A","B",1,47.245.58.189,"2022-12-08, 16:57","2022-12-08, 16:57","1s"
"circularsharp.com","A","B",1,47.245.58.189,"2022-12-08, 16:41","2022-12-08, 16:41","1s"
"recallmaiden.com","A","B",1,47.245.58.189,"2022-12-08, 15:44","2022-12-08, 15:44","1s"
"pursuitguttural.com","A","B",1,47.245.58.189,"2022-12-08, 15:32","2022-12-08, 15:32","1s"
"standanything.com","A","B",1,47.245.58.189,"2022-12-08, 15:17","2022-12-08, 15:17","1s"
"www.offeringspecifi.com","A","B",1,47.245.58.189,"2022-12-08, 14:42","2022-12-08, 14:42","1s"
"offeringspecifi.com","A","B",1,47.245.58.189,"2022-12-08, 14:41","2022-12-08, 14:41","1s"
"growportable.com","A","B",1,47.245.58.189,"2022-12-08, 14:12","2022-12-08, 14:12","1s"
"requestprey.com","A","B",1,47.245.58.189,"2022-12-08, 13:52","2022-12-08, 13:52","1s"
"vivacitytouchin.com","A","B",1,47.245.58.189,"2022-12-08, 13:21","2022-12-08, 13:21","1s"
"marblestandard.com","A","B",1,47.245.58.189,"2022-12-08, 12:48","2022-12-08, 12:48","1s"
"usualpitch.com","A","B",1,47.245.58.189,"2022-12-08, 12:46","2022-12-08, 12:46","1s"
"hollowreply.com","A","B",1,47.245.58.189,"2022-12-08, 12:44","2022-12-08, 12:44","1s"
"staletraining.com","A","B",1,47.245.58.189,"2022-12-08, 12:32","2022-12-08, 12:32","1s"
"bondthirst.com","A","B",1,47.245.58.189,"2022-12-08, 12:27","2022-12-08, 12:27","1s"
"kindsuspend.com","A","B",1,47.245.58.189,"2022-12-08, 12:23","2022-12-08, 12:23","1s"
"tributesolicit.com","A","B",1,47.245.58.189,"2022-12-08, 12:22","2022-12-08, 12:22","1s"
"pigeonbarren.com","A","B",1,47.245.58.189,"2022-12-08, 12:03","2022-12-08, 12:03","1s"
"trivialdepend.com","A","B",1,47.245.58.189,"2022-12-08, 11:36","2022-12-08, 11:36","1s"
"plumeworldly.com","A","B",1,47.245.58.189,"2022-12-08, 10:51","2022-12-08, 10:51","1s"
"chairdeep.com","A","C",1,47.245.58.189,"2022-12-08, 10:35","2022-12-08, 10:35","1s"
"streetwhistle.com","A","B",1,47.245.58.189,"2022-12-08, 10:34","2022-12-08, 10:34","1s"
"quicktreble.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"manuallodging.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"efficacyevent.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"heaveshameful.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"cellularobstruc.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"farmglossy.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"gatemagnify.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"leanincident.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"appearprovide.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"crestpivot.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"punishyarn.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"assemblyaccusto.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"appeasepicture.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"extinctfast.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"curlplait.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"coloringlikely.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"touchingpull.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"nervoustraining.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"declarenorth.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
"appointbrake.com","A","A","",47.245.58.189,"2022-12-07","2022-12-08","1d"
